1785734799895,bot29,rtt,57
1785734799896,bot28,rtt,58
1785734799910,bot0,rtt,70
1785734799910,bot15,rtt,70
1785734799911,bot1,rtt,71
1785734799912,bot2,rtt,72
1785734799913,bot3,rtt,73
1785734799914,bot4,rtt,74
1785734799914,bot5,rtt,74
1785734799915,bot6,rtt,75
1785734799916,bot7,rtt,76
1785734799926,bot8,rtt,86
1785734799927,bot9,rtt,87
1785734799928,bot10,rtt,88
1785734799930,bot11,rtt,90
1785734799930,bot12,rtt,92
1785734799932,bot13,rtt,92
1785734799933,bot14,rtt,93
1785734799934,bot17,rtt,94
1785734799935,bot16,rtt,95
1785734799936,bot19,rtt,96
1785734799941,bot18,rtt,101
1785734799942,bot20,rtt,102
1785734800891,bot22,rtt,48
1785734800891,bot25,rtt,48
1785734800892,bot27,rtt,49
1785734800893,bot29,rtt,50
1785734800905,bot3,rtt,55
1785734800907,bot2,rtt,57
1785734800907,bot5,rtt,57
1785734800908,bot4,rtt,58
1785734800909,bot7,rtt,59
1785734800909,bot9,rtt,59
1785734800910,bot6,rtt,60
1785734800911,bot11,rtt,61
1785734800912,bot8,rtt,62
1785734800912,bot13,rtt,62
1785734800913,bot10,rtt,63
1785734800914,bot17,rtt,64
1785734800915,bot19,rtt,65
1785734800915,bot12,rtt,72
1785734800916,bot21,rtt,66
1785734800917,bot14,rtt,67
1785734800918,bot23,rtt,75
1785734800920,bot16,rtt,70
1785734800921,bot24,rtt,78
1785734800922,bot26,rtt,79
1785734800924,bot18,rtt,74
1785734800925,bot28,rtt,82
1785734800932,bot20,rtt,82
1785734800936,bot15,rtt,86
1785734800938,bot0,rtt,88
1785734800939,bot1,rtt,89
1785734801903,bot23,rtt,46
1785734801903,bot22,rtt,46
1785734801904,bot24,rtt,47
1785734801904,bot26,rtt,47
1785734801905,bot27,rtt,48
1785734801905,bot28,rtt,48
1785734801906,bot29,rtt,49
1785734801907,bot4,rtt,46
1785734801908,bot8,rtt,46
1785734801908,bot15,rtt,47
1785734801910,bot1,rtt,48
1785734801910,bot3,rtt,48
1785734801911,bot5,rtt,49
1785734801912,bot7,rtt,50
1785734801913,bot9,rtt,51
1785734801913,bot12,rtt,56
1785734801915,bot17,rtt,54
1785734801933,bot0,rtt,71
1785734801934,bot2,rtt,73
1785734801935,bot6,rtt,73
1785734801936,bot10,rtt,75
