1785734427133,bot2,rtt,42
1785734427136,bot6,rtt,41
1785734427136,bot8,rtt,41
1785734427498,bot0,rtt,44
1785734427678,bot3,rtt,41
1785734427681,bot7,rtt,42
1785734427681,bot5,rtt,41
1785734427849,bot1,rtt,43
1785734427863,bot9,rtt,43
1785734428133,bot4,rtt,41
1785734428134,bot2,rtt,42
1785734428136,bot6,rtt,41
1785734428137,bot8,rtt,42
1785734428499,bot0,rtt,45
1785734428679,bot3,rtt,41
1785734428680,bot7,rtt,41
1785734428682,bot5,rtt,41
1785734428849,bot1,rtt,43
1785734428866,bot9,rtt,46
1785734429135,bot4,rtt,43
1785734429135,bot2,rtt,43
1785734429137,bot6,rtt,42
1785734429137,bot8,rtt,41
1785734429498,bot0,rtt,43
1785734429679,bot3,rtt,41
1785734429680,bot7,rtt,41
1785734429683,bot5,rtt,42
1785734429848,bot1,rtt,42
1785734429869,bot9,rtt,45
1785734430133,bot4,rtt,41
1785734430134,bot2,rtt,42
1785734430138,bot6,rtt,42
1785734430138,bot8,rtt,42
1785734430499,bot0,rtt,44
1785734430679,bot3,rtt,42
1785734430681,bot7,rtt,41
1785734430683,bot5,rtt,42
1785734430848,bot1,rtt,42
1785734430883,bot9,rtt,52
1785734431165,bot6,rtt,69
1785734431166,bot8,rtt,69
1785734431166,bot2,rtt,74
1785734431175,bot4,rtt,83
1785734431498,bot0,rtt,42
1785734431679,bot3,rtt,42
1785734431680,bot7,rtt,41
1785734431683,bot5,rtt,42
1785734431850,bot1,rtt,43
1785734431879,bot9,rtt,43
1785734432134,bot4,rtt,42
1785734432135,bot2,rtt,43
1785734432137,bot6,rtt,41
1785734432138,bot8,rtt,42
1785734432499,bot0,rtt,43
1785734432680,bot3,rtt,42
1785734432681,bot7,rtt,41
1785734432683,bot5,rtt,42
1785734432850,bot1,rtt,43
1785734432879,bot9,rtt,43
1785734433134,bot4,rtt,42
1785734433134,bot2,rtt,42
1785734433137,bot6,rtt,41
1785734433138,bot8,rtt,42
1785734433499,bot0,rtt,42
1785734433680,bot3,rtt,42
1785734433682,bot7,rtt,41
1785734433684,bot5,rtt,42
1785734433849,bot1,rtt,42
1785734433877,bot9,rtt,41
1785734434134,bot4,rtt,42
1785734434134,bot2,rtt,42
1785734434138,bot6,rtt,41
1785734434138,bot8,rtt,41
1785734434498,bot0,rtt,41
1785734434680,bot3,rtt,41
1785734434682,bot7,rtt,41
1785734434683,bot5,rtt,40
1785734434848,bot1,rtt,41
1785734434878,bot9,rtt,42
1785734435133,bot4,rtt,41
1785734435134,bot2,rtt,42
1785734435138,bot6,rtt,41
1785734435139,bot8,rtt,42
1785734435499,bot0,rtt,42
1785734435681,bot3,rtt,43
1785734435683,bot7,rtt,42
1785734435685,bot5,rtt,43
1785734435849,bot1,rtt,41
1785734435878,bot9,rtt,42
1785734436134,bot4,rtt,41
1785734436135,bot2,rtt,42
1785734436138,bot6,rtt,41
1785734436138,bot8,rtt,41
1785734436499,bot0,rtt,42
1785734436680,bot3,rtt,42
1785734436683,bot5,rtt,41
1785734436683,bot7,rtt,42
1785734436849,bot1,rtt,42
1785734436878,bot9,rtt,42
1785734437134,bot4,rtt,41
1785734437135,bot2,rtt,42
1785734437139,bot6,rtt,42
1785734437140,bot8,rtt,43
1785734437499,bot0,rtt,42
1785734437681,bot3,rtt,42
1785734437683,bot5,rtt,41
1785734437684,bot7,rtt,42
1785734437849,bot1,rtt,42
1785734437878,bot9,rtt,41
1785734438134,bot4,rtt,41
1785734438135,bot2,rtt,42
1785734438139,bot6,rtt,41
1785734438140,bot8,rtt,42
1785734438499,bot0,rtt,42
1785734438681,bot3,rtt,42
1785734438683,bot7,rtt,42
1785734438684,bot5,rtt,41
1785734438850,bot1,rtt,42
1785734438878,bot9,rtt,41
1785734439134,bot4,rtt,41
1785734439134,bot2,rtt,41
1785734439139,bot6,rtt,41
1785734439139,bot8,rtt,41
1785734439500,bot0,rtt,42
1785734439681,bot3,rtt,41
1785734439683,bot7,rtt,42
1785734439685,bot5,rtt,41
1785734439849,bot1,rtt,42
1785734439879,bot9,rtt,41
1785734440134,bot4,rtt,41
1785734440135,bot2,rtt,42
1785734440140,bot6,rtt,42
1785734440140,bot8,rtt,42
1785734440500,bot0,rtt,42
1785734440681,bot3,rtt,41
1785734440683,bot7,rtt,41
1785734440686,bot5,rtt,42
1785734440849,bot1,rtt,42
1785734440879,bot9,rtt,42
1785734441135,bot4,rtt,41
1785734441135,bot2,rtt,41
1785734441139,bot6,rtt,41
1785734441140,bot8,rtt,42
1785734441499,bot0,rtt,42
1785734441681,bot3,rtt,41
1785734441684,bot7,rtt,42
1785734441686,bot5,rtt,41
1785734441848,bot1,rtt,41
