1785733651295,bot6,rtt,699
1785733651296,bot8,rtt,699
1785733651298,bot10,rtt,701
1785733651300,bot12,rtt,703
1785733651302,bot14,rtt,706
1785733651395,bot16,rtt,799
1785733651482,bot18,rtt,885
1785733651574,bot20,rtt,977
1785733651623,bot22,rtt,1026
1785733651625,bot26,spawn
1785733652263,bot19,rtt,619
1785733652357,bot21,rtt,714
1785733652456,bot23,rtt,813
1785733652512,bot13,rtt,869
1785733652514,bot15,rtt,871
1785733652515,bot17,rtt,872
1785733652542,bot25,rtt,898
1785733652545,bot0,rtt,902
1785733652547,bot27,spawn
1785733652549,bot2,rtt,906
1785733652550,bot4,rtt,907
1785733652552,bot6,rtt,909
1785733652553,bot8,rtt,910
1785733652555,bot10,rtt,911
1785733652557,bot12,rtt,913
1785733652558,bot14,rtt,915
1785733652571,bot16,rtt,928
1785733652657,bot18,rtt,1013
1785733652751,bot20,rtt,1107
1785733652752,bot3,rtt,1109
1785733652754,bot1,rtt,1111
1785733652755,bot5,rtt,1112
1785733652756,bot7,rtt,1112
1785733652757,bot11,rtt,1113
1785733652758,bot9,rtt,1115
1785733652883,bot22,rtt,1239
1785733652884,bot24,rtt,1608
1785733653225,bot20,rtt,299
1785733653242,bot2,rtt,317
1785733653244,bot4,rtt,318
1785733653245,bot6,rtt,319
1785733653248,bot8,rtt,322
1785733653249,bot10,rtt,323
1785733653250,bot12,rtt,324
1785733653251,bot14,rtt,326
1785733653252,bot16,rtt,327
1785733653253,bot18,rtt,327
1785733653350,bot22,rtt,424
1785733653393,bot0,rtt,467
1785733653394,bot26,rtt,469
1785733653447,bot24,rtt,935
1785733653452,bot1,rtt,526
1785733653454,bot3,rtt,528
1785733653456,bot5,rtt,530
1785733653457,bot7,rtt,531
1785733653459,bot9,rtt,534
1785733653461,bot11,rtt,535
1785733653463,bot13,rtt,537
1785733653465,bot15,rtt,539
1785733653468,bot17,rtt,543
1785733653470,bot19,rtt,544
1785733653558,bot21,rtt,632
1785733653647,bot23,rtt,722
1785733653694,bot25,rtt,768
1785733653697,bot29,spawn
1785733655359,bot27,rtt,1637
1785733655615,bot24,rtt,1893
1785733655651,bot28,spawn
1785733656182,bot21,rtt,2255
1785733656247,bot23,rtt,2321
1785733656292,bot25,rtt,2365
1785733656325,bot1,rtt,2398
1785733656325,bot5,rtt,2399
1785733656325,bot7,rtt,2398
1785733656326,bot11,rtt,2399
1785733656326,bot13,rtt,2400
1785733656327,bot17,rtt,2401
1785733656327,bot9,rtt,2401
1785733656327,bot19,rtt,2400
1785733656354,bot0,rtt,2428
1785733656355,bot2,rtt,2429
1785733656356,bot4,rtt,2429
1785733656357,bot6,rtt,2431
1785733656358,bot8,rtt,2431
1785733656359,bot10,rtt,2432
1785733656361,bot12,rtt,2434
1785733656362,bot14,rtt,2436
1785733656363,bot16,rtt,2437
1785733656366,bot18,rtt,2439
1785733656368,bot20,rtt,2441
1785733656413,bot22,rtt,2486
1785733656602,bot26,rtt,2676
1785733656663,bot15,rtt,2737
1785733656692,bot3,rtt,2765
1785733657075,bot24,rtt,2353
1785733657747,bot0,rtt,2821
1785733657749,bot2,rtt,2823
1785733657750,bot4,rtt,2821
1785733657751,bot6,rtt,2825
1785733657752,bot8,rtt,2823
1785733657754,bot10,rtt,2825
1785733657755,bot12,rtt,2826
1785733657756,bot14,rtt,2830
1785733657757,bot16,rtt,2831
1785733657758,bot18,rtt,2829
1785733657759,bot20,rtt,2830
1785733657760,bot22,rtt,2831
1785733657762,bot26,rtt,2837
1785733658181,bot27,rtt,3458
1785733658231,bot29,rtt,3534
1785733658264,bot15,rtt,3338
1785733658265,bot17,rtt,3339
1785733658266,bot19,rtt,3337
1785733658267,bot21,rtt,3338
1785733658268,bot23,rtt,3342
1785733658269,bot25,rtt,3340
1785733658271,bot1,rtt,3342
1785733658272,bot3,rtt,3343
1785733658273,bot5,rtt,3347
1785733658274,bot7,rtt,3345
1785733658277,bot9,rtt,3350
1785733658278,bot11,rtt,3349
1785733658279,bot13,rtt,3353
1785733659365,bot24,rtt,3620
1785733659768,bot2,rtt,3842
1785733659769,bot4,rtt,3841
1785733659769,bot6,rtt,3842
1785733659770,bot8,rtt,3840
1785733659771,bot10,rtt,3840
1785733659771,bot12,rtt,3840
1785733659772,bot14,rtt,3846
1785733659772,bot16,rtt,3846
1785733659773,bot18,rtt,3842
1785733659774,bot20,rtt,3843
1785733659774,bot22,rtt,3843
1785733659790,bot26,rtt,3864
1785733659809,bot0,rtt,3882
1785733660109,bot27,rtt,4364
1785733660118,bot29,rtt,4398
1785733660331,bot5,rtt,4405
1785733660333,bot17,rtt,4407
1785733660333,bot19,rtt,4402
1785733660334,bot21,rtt,4404
1785733660351,bot25,rtt,4421
1785733660397,bot1,rtt,4467
1785733660398,bot3,rtt,4468
